(2, 21, 39)
(2, 8, 52)
(2, 18, 24)
(None, 30, 30)
(2, 7, 52)
(2, 14, 50)
(2, 22, 36)
(None, 20, 20)
(2, 16, 44)
(2, 14, 50)
(2, 20, 22)
(2, 13, 35)
(2, 28, 36)
(2, 18, 45)
(2, 13, 49)
(2, 19, 43)
(2, 17, 41)
(2, 20, 34)
(2, 15, 49)
(2, 29, 35)
(2, 17, 43)
(2, 10, 50)
(2, 16, 42)
(2, 23, 39)
(2, 7, 51)
(2, 29, 33)
(2, 18, 38)
(2, 16, 30)
(2, 11, 45)
(0, 33, 31)
(2, 23, 35)
(2, 26, 38)
(2, 24, 39)
(2, 20, 44)
(2, 21, 25)
(2, 19, 41)
(2, 21, 23)
(2, 11, 52)
(2, 22, 24)
(2, 15, 49)
(2, 13, 49)
(2, 25, 35)
(2, 24, 40)
(2, 16, 48)
(2, 20, 44)
(2, 15, 45)
(2, 31, 33)
(2, 5, 57)
(0, 20, 18)
(2, 15, 43)
(2, 21, 23)
(2, 23, 41)
(2, 9, 48)
(None, 24, 24)
(2, 15, 48)
(2, 18, 44)
(2, 18, 46)
(2, 12, 42)
(2, 10, 52)
(2, 17, 39)
(2, 21, 41)
(2, 22, 41)
(2, 16, 48)
(2, 23, 40)
(2, 23, 41)
(2, 18, 30)
(2, 22, 26)
(2, 29, 35)
(2, 22, 42)
(0, 37, 27)
(2, 20, 36)
(2, 19, 31)
(2, 28, 35)
(2, 16, 18)
(2, 18, 32)
(2, 20, 43)
(2, 19, 45)
(2, 20, 44)
(2, 11, 41)
(2, 22, 41)
(2, 23, 25)
(2, 14, 47)
(None, 24, 24)
(2, 13, 37)
(2, 14, 50)
(2, 14, 50)
(0, 21, 17)
(2, 15, 47)
(2, 16, 36)
(2, 26, 37)
(2, 14, 50)
(2, 14, 42)
(2, 7, 51)
(2, 12, 46)
(0, 30, 28)
(2, 14, 46)
(2, 18, 38)
(2, 17, 42)
(2, 14, 46)
(2, 27, 33)
(2, 19, 45)
(2, 23, 41)
(2, 15, 37)
(2, 18, 42)
