(1, 20, 44)
(0, 42, 14)
(1, 25, 39)
(0, 19, 0)
(0, 33, 23)
(1, 20, 44)
(1, 26, 38)
(0, 25, 0)
(None, 32, 32)
(0, 23, 0)
(1, 27, 37)
(1, 22, 42)
(1, 18, 46)
(0, 40, 24)
(1, 31, 33)
(0, 35, 29)
(1, 22, 42)
(0, 38, 26)
(1, 18, 46)
(0, 33, 31)
(1, 30, 34)
(0, 35, 25)
(1, 23, 39)
(0, 43, 20)
(1, 28, 36)
(0, 46, 16)
(0, 41, 22)
(0, 35, 29)
(0, 25, 7)
(0, 36, 18)
(0, 41, 21)
(0, 35, 27)
(1, 23, 41)
(0, 33, 31)
(1, 23, 41)
(1, 29, 35)
(1, 20, 44)
(1, 23, 41)
(0, 29, 21)
(1, 24, 40)
(1, 20, 44)
(1, 27, 35)
(0, 32, 31)
(0, 39, 19)
(0, 34, 24)
(1, 16, 48)
(0, 34, 26)
(1, 20, 44)
(1, 18, 46)
(1, 24, 40)
(1, 29, 35)
(0, 36, 28)
(0, 36, 26)
(0, 23, 0)
(0, 25, 0)
(1, 26, 36)
(0, 31, 27)
(None, 32, 32)
