(2, 27, 37)
(2, 15, 49)
(2, 22, 38)
(2, 25, 39)
(2, 18, 44)
(1, 23, 21)
(2, 15, 49)
(2, 13, 49)
(2, 12, 52)
(2, 24, 36)
(2, 24, 38)
(2, 24, 36)
(1, 41, 23)
(2, 19, 41)
(2, 22, 38)
(2, 26, 34)
(2, 21, 41)
(2, 11, 43)
(2, 22, 38)
(1, 41, 23)
(2, 22, 39)
(2, 13, 50)
(2, 21, 43)
(2, 24, 40)
(2, 24, 40)
(2, 14, 44)
(2, 6, 56)
(2, 24, 34)
(2, 24, 34)
(2, 22, 40)
(2, 10, 54)
(2, 20, 32)
(2, 22, 42)
(2, 23, 41)
(2, 28, 35)
(2, 21, 39)
(2, 27, 37)
(2, 15, 49)
(2, 18, 46)
(2, 13, 50)
(2, 23, 41)
(2, 27, 35)
(2, 11, 43)
(1, 37, 25)
(2, 23, 41)
(2, 23, 39)
(2, 25, 35)
(2, 24, 40)
(2, 24, 36)
(2, 28, 34)
(2, 19, 45)
(2, 28, 32)
(2, 22, 38)
(2, 19, 41)
(2, 24, 36)
(2, 23, 39)
(1, 33, 30)
(2, 31, 33)
(2, 20, 44)
(2, 20, 32)
(2, 24, 36)
(2, 22, 38)
(2, 22, 42)
(2, 22, 40)
(2, 26, 38)
(2, 18, 46)
(2, 24, 38)
(2, 24, 37)
(None, 32, 32)
(2, 14, 46)
(2, 22, 39)
(1, 24, 20)
(2, 22, 36)
(2, 16, 46)
(2, 22, 40)
(2, 24, 38)
(2, 19, 45)
(2, 25, 31)
(2, 23, 41)
(2, 19, 45)
(2, 26, 34)
(2, 25, 39)
(2, 25, 29)
(2, 12, 52)
(2, 11, 43)
(1, 23, 21)
(2, 17, 47)
(2, 12, 48)
(2, 24, 40)
(2, 31, 33)
(2, 25, 35)
(2, 23, 39)
(2, 21, 43)
(1, 30, 28)
(2, 22, 39)
(2, 23, 41)
(1, 41, 23)
(2, 24, 36)
(2, 26, 38)
(2, 12, 52)
(1, 31, 30)
(2, 25, 31)
(2, 16, 48)
(2, 21, 41)
(2, 24, 36)
(2, 21, 37)
(2, 11, 51)
(2, 26, 34)
(2, 28, 35)
(2, 12, 52)
(2, 22, 42)
(2, 15, 49)
(2, 19, 45)
(2, 24, 36)
(2, 27, 36)
(2, 22, 39)
(2, 21, 35)
